127.0.0.1 - - [29/Aug/2024:09:36:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/register.jsp HTTP/1.1" 200 3968
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/css/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/js/photo-gallery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/js/pycs-layout.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/jquery.validate.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/fonts/NotoSansKR-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:49 +0900] "GET /kdtweb/fonts/NotoSansKR-Medium.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:36:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:37:57 +0900] "GET /kdtweb/register.jsp HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:37:57 +0900] "GET /kdtweb/jquery.validate.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:59:34 +0900] "GET /kdtweb/register.jsp HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [29/Aug/2024:09:59:34 +0900] "GET /kdtweb/jquery.validate.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:00:15 +0900] "GET /kdtweb/register.jsp HTTP/1.1" 200 9291
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:00:15 +0900] "GET /kdtweb/jquery.validate.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:01:16 +0900] "GET /kdtweb/register.jsp HTTP/1.1" 200 9338
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:01:16 +0900] "GET /kdtweb/css/remixicon.css HTTP/1.1" 200 140967
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:01:16 +0900] "GET /kdtweb/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:01:16 +0900] "GET /kdtweb/css/bootstrap.min.css HTTP/1.1" 200 162264
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:01:16 +0900] "GET /kdtweb/css/reset.css HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [29/Aug/2024:10:01:16 +0900] "GET /kdtweb/css/style.css HTTP/1.1" 200 2898
